	Tweet
1077	 Veeva’s Content Partner Program now supports the entire content journey. Join us on Jan 30 at 8 a.m. PT to see what’s new:  https://t.co/INlLxedxQg  https://t.co/0SFvcTMT8X
1078	 Learn how progress in medicine &amp; technology create new possibilities for scientific experts to advance patient care  https://t.co/YIJFi7Elj6  https://t.co/d2RtlmKMku
1079	 Learn how to glean insights from individual performance metrics that impact content time to market. 2-minute video:  https://t.co/xgbaC77TZc #pharma #lifesciences  https://t.co/e6WAvonGGy
1080	 Join over 1600+ life sciences professionals and experts from across the industry for the largest commercial and medical affairs event for life sciences. Register today:  https://t.co/oHvmBU4hn0  https://t.co/UrGJ3JWE3T
1081	 6 tips for building a successful content factory for #lifesciences  https://t.co/OIVrwKB6d7  https://t.co/XDRbKZAn9W
1082	 Tips to develop more personalized, relevant promotional content in 2020  https://t.co/wRqBYm6Nd4  https://t.co/ts94Fh1Zxk
1083	 Insights from Bristol-Myers Squibb: how physicians use technology to improve patient care  https://t.co/j6E0k5O3DO  https://t.co/hpPtxHdnUb
1084	 6 content metrics to optimize your promotional claims management. 4-minute video:  https://t.co/ERVsmFqTXR #pharma #lifesciences  https://t.co/QCTeGrxTrZ
1085	 Full-service CRO @AdvClinical moved from paper to Vault eTMF, cutting costs while enabling faster document collection and real-time visibility. Learn more:  https://t.co/FAvtezTg84
1086	 Want to learn how organizations are shortening the product development lifecycle and keeping pace with evolving regulations? Join us at our first Medical Device &amp; Diagnostics Summit this June in Minneapolis.  https://t.co/dFnP9m90mp  https://t.co/37GsfLLpIZ
1087	 Discover how Auto Claims Linking can help you exceed your content approval goals in 2020. Join us for a fireside chat on Jan 23:  https://t.co/5bT3yNwkuD #ai #pharma  https://t.co/llekbuZ1cf
1088	 CROs reported speeding Study Start-up as a top priority in the Veeva 2019 Annual CRO Report. Learn more:  https://t.co/eT3kRRsuKd  https://t.co/TULiX2ecd2
1089	 Learn why @GBT implemented Veeva Vault eTMF for #TMF management and oversight ahead of an upcoming inspection:  https://t.co/XNMo5Qerzh
1090	 6 content metrics to optimize your promotional claims management. 4-minute video:  https://t.co/ERVsmFqTXR #pharma #lifesciences  https://t.co/wZXkEU1azV
1091	 Learn 5 key components of the digital supply chain for #lifesciences  https://t.co/2yNzjFR9TP
1092	 Insights from Bristol-Myers Squibb: how physicians use technology to improve patient care  https://t.co/o6iS9p2n5S  https://t.co/EmRdpEtok0
1093	 Discover how Auto Claims Linking can help you exceed your content approval goals in 2020. Join us for a fireside chat on Jan 23:  https://t.co/5bT3yNwkuD #ai #pharma  https://t.co/TiHDEFxoUG
1094	 6 content metrics to optimize your promotional claims management. 4-minute video:  https://t.co/ERVsmFqTXR #pharma #lifesciences  https://t.co/OfiLeO9xmh
1095	 6 tips for building a successful content factory for #lifesciences  https://t.co/9MdyoTJLxo  https://t.co/8wBiSTmPyR
1096	 Bristol-Myers Squibb’s best practices for meeting physician needs  https://t.co/m4qBs4y4hv  https://t.co/xKrdFzzmvZ
1097	 #Clinicalresearch sites will soon have access to a modern eRegulatory / ISF solution to improve efficiency and compliance. Join the waitlist:  https://t.co/v8kRvjmqXv
1098	 What are the three key pillars to improve #studystartup? Listen to experts from @Allergan and @Veeva as they discuss study start-up process optimization techniques:  https://t.co/zbkFVGffQQ
1099	 Speed time-to-market of your promotional content in 2020  https://t.co/uq9FjyXKjE  https://t.co/yX1QnRgTPk
1100	 Glen Morris and Malia Lewin discuss BMS' best practices for collaborating with scientific experts  https://t.co/aA0pZ06se1  https://t.co/sW9IXMF68h
1101	 Discover how Auto Claims Linking can help you exceed your content approval goals in 2020. Join us for a fireside chat on Jan 23:  https://t.co/5bT3yNwkuD #ai #pharma  https://t.co/9gpUnzy5EY
1102	 96% of CROs surveyed report significant challenges with the ways they exchange #clinicaltrial information. Read the report to learn more:  https://t.co/eT3kRRsuKd  https://t.co/bRYWc7m4I6
1103	 With these 12 metrics, optimize your content review and approval process. Watch now:  https://t.co/idyP0Ecalm. #pharma #lifesciences
1104	 Get expert tips for launching Auto Claims Linking and discover how this feature can speed content time to market. Join us for a fireside chat on Jan 23:  https://t.co/ZMhF1TITFH #ai #pharma  https://t.co/3s0qx0SHiH
1105	 Get expert tips for launching Auto Claims Linking and discover how this feature can speed content time to market. Join us for a fireside chat on Jan 23:  https://t.co/ZMhF1TITFH #ai #pharma  https://t.co/UA00XMdUHg
1106	 See how clinical research sites are improving efficiency and compliance with eRegulatory:  https://t.co/50nAkx8cRV #clinicaltrials
1107	 With these 12 metrics, optimize your content review and approval process. Watch now:  https://t.co/idyP0Ecalm. #pharma #lifesciences  https://t.co/OsccYgZYmy
1108	 Speed #promotionalreview in 2020 with these 3 #VaultPromoMats features  https://t.co/TTUDtjS6hM  https://t.co/DG9pApB22e
1109	 Glen Morris and Malia Lewin discuss BMS' best practices for collaborating with scientific experts  https://t.co/NQezMna7Cv
1110	 Get expert tips for launching Auto Claims Linking and discover how this feature can speed content time to market. Join us for a fireside chat on Jan 23:  https://t.co/ZMhF1TITFH #ai #pharma  https://t.co/2gur56GuXy
1111	 Get expert tips for launching Auto Claims Linking and discover how this feature can speed content time to market. Join us for a fireside chat on Jan 23:  https://t.co/ZMhF1TITFH #ai #pharma  https://t.co/rBSTDbHugq
1112	 With these 12 metrics, optimize your content review and approval process. Watch now:  https://t.co/idyP0Ecalm. #pharma #lifesciences  https://t.co/2lTMDSXBrg
1113	 6 tips for building a successful content factory for #lifesciences  https://t.co/aYF3DeDQwD  https://t.co/NueQ49luN6
1114	 Precision Medicine demands a new approach to collaboration – Veeva's Malia Lewin explains how transforming engagement through technology is crucial to success for #lifesciences organizations and patients via @Pharmafield- read more:  https://t.co/qbWlFvwbFT
1115	 To improve efficiency and compliance at #clinicaltrial sites, Veeva’s is offering a free eRegulatory / eISF solution. Watch this on-demand webinar learn more:  https://t.co/50nAkx8cRV
1116	 Learn 5 key components of the digital supply chain for #lifesciences  https://t.co/xDcdh54oNU
1117	 Best practices for targeting the right stakeholder mix:  https://t.co/5qXfclMRMM #MedicalAffairs #MedicalScienceLiaison #LifeSciences
1118	 6 tips for building a successful content factory for #lifesciences  https://t.co/OIVrwKB6d7  https://t.co/ycEbwZd4ds
1119	 Learn the 3 levels of measuring content performance &amp; key metrics that support them. 2-minute video:  https://t.co/72KT752WJ8 #pharma #lifesciences  https://t.co/qiIBG8z4hl
1120	 Get expert tips for launching Auto Claims Linking and discover how this feature can speed content time to market. Join us for a fireside chat on Jan 23:  https://t.co/ZMhF1TITFH #ai #pharma  https://t.co/JtAUgAgJMr
1121	 Coming soon: Speed #clinicaltrial site efficiency and improve quality with Veeva’s free eRegulatory / ISF solution. Learn more in this on-demand webinar:  https://t.co/50nAkx8cRV
1122	 Learn the 3 levels of measuring content performance &amp; key metrics that support them. 2-minute video:  https://t.co/72KT752WJ8 #pharma #lifesciences  https://t.co/FIzxIF0CV2
1123	 Your participation is what makes #VeevaSummit a unique industry event. Hurry save your spot today:  https://t.co/oHvmBU4hn0  https://t.co/kRhs028aiS
1124	 Hear how @GBT achieves real-time #visibility and control of documents while strengthening collaboration with CROs:  https://t.co/XNMo5Qerzh  https://t.co/Tj5CYQiHEh
1125	 Learn how DAM fuels faster, higher quality content creation. Check out key takeaways from the 2019 #digitalassetmanagement for #lifesciences forum  https://t.co/s643c4WXYP
1126	 4 steps to better scientific engagement  https://t.co/VrODrRdWKY #medicalaffairs
1127	 .@AdvClinical’s move to Vault #eTMF enables them to continually innovate and collaborate with study partners. Learn more:  https://t.co/FAvtezTg84  https://t.co/UPe70yvtrw
1128	 Make lasting connections, expand your knowledge, and drive positive change. Secure your spot today for 2020 Veeva Commercial &amp; Medical Summit:  https://t.co/oHvmBU4hn0  https://t.co/rBRNAydAiD
1129	 5 best practices for implementing a metadata strategy  https://t.co/NF96MGB9yk
1130	 Learn the 3 levels of measuring content performance &amp; key metrics that support them. 2-minute video:  https://t.co/72KT752WJ8 #pharma #lifesciences  https://t.co/Gann8wGVt0
1131	 Save your seat today! Registration for the 2020 Veeva Commercial &amp; Medical Summit is now open:  https://t.co/oHvmBU4hn0  https://t.co/h1ncRhNWtz
1132	 94% of CROs surveyed report at least one major challenge with their CTMS. Learn the current state of the industry from a CRO perspective here:  https://t.co/eT3kRRsuKd  https://t.co/Gd9PV17VMi
1133	 Improve clinical site efficiency and compliance with Veeva’s free eRegulatory / eISF solution (coming soon). See how:  https://t.co/50nAkx8cRV #clinicalresearch
1134	 5 best practices for implementing a metadata strategy  https://t.co/mn20q6Ie0J
1135	 From origination to diagnosis, treatment, and monitoring, the patient journey provides valuable insights to inform #MedicalAffairs engagement.  https://t.co/3sTyK8wAMe  https://t.co/Whc7Y4DtLT
1136	 Calling all medical device and diagnostics professionals! Join us for our first Medical Device &amp; Diagnostics Summit this June in Minneapolis, where you can meet other industry leaders and exchange best practices. Learn more here:  https://t.co/dFnP9m90mp  https://t.co/xN1hxkkkNz
1137	 Learn how to speed #clinicaltrial processes by modernizing #clinicaldata management like @VertexPharma, Lotus Clinical Research, and Cara Therapeutics did:  https://t.co/SAyd4MdD1r  https://t.co/mYCzp9HkI0
1138	 3 best practices for engaging critical HCPs  https://t.co/gjFR1Ubpf5 #medicalaffairs #medicalscienceliaison
1139	 Learn how you can shorten database builds by up to 60% with specless design, real-time UAT, and easy amendments:  https://t.co/xjqx8JVSlr #clinicaltrials  https://t.co/t3qhVKKopy
1140	 [Webinar] Gain practical insights on how to transition #MDR program to business:  https://t.co/ArPynexUZj  https://t.co/jL5bdx5Qmu
1141	 The 2019 Annual CRO Report reveals CROs are initiating change to simplify information exchange with #clinicaltrial study partners. Via @OutsourcPharma:  https://t.co/rJmIwdMZ0E
1142	 Next Week: Learn how modern cloud-based quality systems ease the validation burden on IT teams and speed validation process. Co-presented by PwC and Veeva. #GxP #Validation #qualitysystems  https://t.co/DUdw8kIqyq
1143	 Learn how DAM fuels faster, higher quality content creation. Check out key takeaways from the 2019 #digitalassetmanagement for #lifesciences forum  https://t.co/ScRMENXtPE
1144	 5 best practices for getting the most out of #VaultMedComms Medical Portals  https://t.co/aUT0vbBmP3  https://t.co/gL98q9cyda
1145	 Safety executives discussed opportunities to transform the industry at the Veeva Safety Forum. Read about it:  https://t.co/LEzxUokhE9  https://t.co/kanN8HYw1g
1146	 Happy Holidays from everyone at Veeva! This year, we are so happy to team up with the incredible organization @FGTtweets that helps deliver #holiday wishes to kids most in need. Learn how you can make a real impact in a child’s life this holiday season:  https://t.co/AgOYFyZYur  https://t.co/CGO3j318VN
1147	 Get the 411 on efficient monitoring in Veeva Vault CTMS in this blog:  https://t.co/SGoLZLSwrP  https://t.co/JknpAZ0bR7
1148	 Watch this webinar to learn how technology can support a successful transition of #MDR program to business and what it means for you:  https://t.co/ArPynexUZj  https://t.co/5WDxtEQDKL
1149	 Connect with 700 industry leaders and experts in clinical, quality, regulatory, and IT for two days of learning and networking. Veeva R&amp;D Summit, Europe takes place on 18-20 May 2020. Reserve your spot today:   https://t.co/Id6dqq4Lmg  https://t.co/kEXwSFK36L
1150	 .@MySCRS connected with Veeva to discuss the state of clinical research sites and how Veeva SiteVault Free brings higher quality data, more efficient collaboration, and faster #clinicaltrial execution to sites:  https://t.co/0mw8nouM0c
1151	 Learn how to get the most out of your promotional content and track standard metrics. On-demand webinar:  https://t.co/TVSDAfuNnK #lifesciences #pharma #marketing  https://t.co/b7930PE5h6
1152	 Webinar next week: learn how to ease your validation burden with cloud-based quality systems. Co-presented by PwC and Veeva. #GxP #Validation #qualitysystems   https://t.co/DUdw8kIqyq
1153	 How @Astellas improves scientific engagement #medicalaffairs #oncology  https://t.co/QskADpv8mW  https://t.co/bRtBQIzyJo
1154	 Learn how @AdvClinical’s move from paper to Vault eTMF enables speedier document collection and allows them to deliver real-time visibility to clients:  https://t.co/FAvtezTg84 #clinicaltrials  https://t.co/Lz8Q4wgJ5Y
1155	 How is #medicalaffairs transforming and how are #medicalscienceliaisons evolving to better execute on business strategy? Watch now:  https://t.co/4g66ybIYbu  https://t.co/8WFEWgGqKO
1156	 Learn how an agile #EDC enables process transformation that shorten database builds by up to 60%:  https://t.co/xjqx8JVSlr #clinicaltrials #veeva  https://t.co/jmU5BTdYhJ
1157	 Veeva #VaultPromoMats Auto Claims linking uses AI to link #promotionalclaims to the right reference material #lifesciences  https://t.co/MQu30dBjl0
1158	 CROs reported speeding Study Start-up as a top priority in the Veeva 2019 Annual CRO Report. Learn more:  https://t.co/eT3kRRsuKd  https://t.co/vZfaNROavN
1159	 The Veeva Safety Forum in Philadelphia brought safety leaders from more than 60 companies to discuss opportunities to improve safety science and safety operations across the product lifecycle. Read about it:  https://t.co/LEzxUokhE9  https://t.co/ZfsCvbT80m
1160	 Join 30-year life sciences veteran @HenryGalio on December 10 for a conversation on best practices for mitigating outsourced compliance risk:  https://t.co/VzX5pGYoNd  https://t.co/R0EUrZww1f
1161	 Denise Williams from @catalystcrnc shares her organization’s seamless implementation experience for Veeva Vault Safety:  https://t.co/fTgQ4rCwgg  https://t.co/uBL0Ca5uzS
1162	 .@ACRPDC shares how organizations are reducing build times, streamlining data quality reviews, and increasing their trial data visibility. Learn how:  https://t.co/SAyd4MdD1r  https://t.co/JNyS5znPfN
1163	 Learn how to get the most out of your promotional content and track standard metrics. On-demand webinar:  https://t.co/rlTQb1pKW5 #lifesciences #pharma #marketing  https://t.co/1b8OlcC3o0
1164	 5 ways #medicalscienceliaisons can maximize scientific interactions #medicalaffairs  https://t.co/9hcSOpqVpR  https://t.co/KXv0WHDlSX
1165	 Join @DaiichiSankyoUS and Veeva tomorrow as we discuss best practices for reducing the stress of a regulatory inspection. Register here:  https://t.co/Yy8DCuxxyl  https://t.co/8kU6ckcXLT
1166	 We’re continually reimagining Veeva CRM to give customers a flexible solution that accommodates the way they work, learn more about how Salesforce Lightning Business Apps and Veeva CRM Dynamic Attributes can improve collaboration and productivity:  https://t.co/tvUUSU8Pov  https://t.co/hP4HOMazPl
1167	 With Veeva OpenData Explorer and Veeva OpenData API, we are giving customers greater choice in how they use Veeva OpenData and making it even easier to access accurate customer data, read more at:  https://t.co/HBZd8HjMyD  https://t.co/hLRhyv4X3A
1168	 Best practice guide for #oncology engagement #MedicalAffairs  https://t.co/jsKsV3uGdI  https://t.co/T7K0s4frTQ
1169	 Veeva today announced new capabilities in Veeva CRM including Salesforce Lightning Business Apps and Veeva CRM Dynamic Attributes, as well as Veeva OpenData Explorer and Veeva OpenData API. Read today's press releases to find out more:  https://t.co/XUwSWzVfu3  https://t.co/AvMYiDehY3
1170	 .@OutsourcPharma reports on the findings of the state of information exchange between CROs and study partners in the 2019 Annual CRO Report:  https://t.co/rJmIwdMZ0E
1171	 Register now for the Veeva Align 19R3 release webinar to learn about user management enhancements and core product improvements.  https://t.co/tAUObD0JaR  https://t.co/Bt4apTxNNq
1172	 Learn how DAM fuels faster, higher quality content creation. Check out key takeaways from the 2019 #digitalassetmanagement for #lifesciences forum  https://t.co/sP7LYd9Eop
1173	 5 best practices for getting the most out of #VaultMedComms Medical Portals  https://t.co/sDC3kxh1tT  https://t.co/RmJOWYQyw6
1174	 Learn best practices for adopting #eRegulatory at #clinicalresearch sites during this @MySCRS webinar on Dec 19:  https://t.co/TnI7R13oKS #NoSiteLeftBehind  https://t.co/nnqhqU8gll
1175	 Join experts from Lotus Clinical Research, ICON plc, Bioforum and Veeva tomorrow as they discuss how to improve study efficiency with a modern EDC:  https://t.co/HrDsPdOQNM  https://t.co/5KGxmHpFKM
1176	 Join experts from @ICONplc, @BioforumM, Lotus Clinical Research, and Veeva tomorrow as they discuss how to improve study efficiency with a modern EDC:  https://t.co/HrDsPdOQNM  https://t.co/s5ViiMqfxD
1177	 How did a comprehensive cloud safety solution streamline pharmacovigilance processes, promote oversight and alignment, and support collaboration? Learn more on December 5:  https://t.co/R9RNrYG1NH  https://t.co/rH3CisccB8
1178	 Learn how to get the most out of your promotional content and track standard metrics. On-demand webinar:  https://t.co/eSpGuP0hC6 #lifesciences #pharma #marketing  https://t.co/K9qukL4gHh
1179	 5 ways #medicalscienceliaisons can maximize scientific interactions #medicalaffairs  https://t.co/f03e4BctuW  https://t.co/xxp6LprF69
1180	 .@MySCRS Spoke with Veeva’s Nate Spilker and Jason Methia about their pathways into #clinicalresearch, perspectives on sites’ struggles, and the solutions they envision:  https://t.co/0mw8nouM0c  https://t.co/HXeLEBwLoi
1181	 [Blog] The How-to’s Behind Agile Design at Veeva R&amp;D Summit. Read now:  https://t.co/yreaUfr0yr  https://t.co/x2ea8Fj26M
1182	 Learn how to be more efficient with monitoring reviewer comments in Vault CTMS:  https://t.co/SGoLZLSwrP  https://t.co/MC5lfVt8I9
1183	 Data management leaders from three CROs will come together Dec. 3 to discuss speeding database builds and automating reporting tasks. Register here:  https://t.co/HrDsPdOQNM  https://t.co/XYm0z4zm7A
1184	 Understand how to measure content performance and produce higher-impact promotional materials for #lifesciences  https://t.co/ftFcc1Lcdv
1185	 Antares Pharma shares how the benefits of a packaged #datawarehouse is an investment that continues to grow over time. Learn more:  https://t.co/F1BetkLDZW
1186	 Ever wonder how does a data warehouse support advanced analytics functions like AI? Learn more in this industry report:  https://t.co/4IJaFd6zAA  https://t.co/EMw4PuVk7q
1187	 Watch to learn about @GSK’s regulatory journey, how they’re leveraging Veeva Vault RIM to seamlessly integrate teams in different countries, and what best practices they’ve learned along the way:  https://t.co/lONYcT2zcp  https://t.co/CVsPXxpO4S
1188	 Collaboration and trial performance are top priorities for #clinical operations leaders like @Allergan, @AstraZeneca, and @JNJCares. Read more in the #VeevaSummit blog:  https://t.co/nSzOGOSoOo  https://t.co/oXDC68Hcwz
1189	 Understand how to measure content performance and produce higher-impact promotional materials for #lifesciences  https://t.co/WHwQmeQWa6
1190	 .@ApellisPharma will share how they evaluated a #pharmacovigilance system and why they chose a modern cloud system:  https://t.co/R9RNrYG1NH  https://t.co/MBwWHWq8dn
1191	 Study start-up is emerging as a major focus area for sponsors and CROs. Hear how @Allergan speeds study start-up with people, process, and technology in this @Xtalks webinar:  https://t.co/0bpbW1riU1 #clinicaltrials  https://t.co/LgRzx3CPsf
1192	 .@GSK deploys a global RIM strategy with Veeva Vault RIM. Learn more:  https://t.co/lONYcT2zcp
1193	 After implementing Veeva Nitro @Karyopharm saw data immediately within their data warehouse. Learn more:  https://t.co/mQddws6jWD
1194	 Join @doug_schantz of @AstraZeneca and Dr. @JeffKingsley1 of @IACTHealth to learn best practices for adopting eRegulatory during this @MySCRS webinar on Dec 19:  https://t.co/TnI7R0LNmi #clinicaltrials  https://t.co/HBaVP7FVLR
1195	 Hear how an intuitive and modern safety solution allows you to take control of your data. Learn more:  https://t.co/fTgQ4rCwgg
1196	 Register now for the Veeva CRM/Events Management 19R3 release webinar to learn about user experience enhancements and core product improvements.  https://t.co/mW1RrUENvz  https://t.co/yJOTA5g4G2
1197	 .@ACRPDC reports that modern EDCs enable organizations to improve performance across the #clinicaltrial lifecycle with an #AgileDesign approach to EDC. Learn more:  https://t.co/SAyd4MdD1r  https://t.co/jF5X2ka4HF
1198	 Learn how DAM fuels faster, higher quality content creation. Check out key takeaways from the 2019 #digitalassetmanagement for #lifesciences forum  https://t.co/1eKCr8D73f
1199	 Now available: Watch this on-demand webinar to learn how Veeva SiteVault Free simplifies site regulatory processes and speeds study execution:  https://t.co/50nAkx8cRV #clinicalresearch #nositeleftbehind  https://t.co/09QwxBdsKa
1200	 Best practice guide for #oncology engagement #MedicalAffairs  https://t.co/giqK4zcAlo  https://t.co/fjHMSg6DeT
1201	 To all the #lifesciences innovators at #Dreamforce, thanks for an amazing week of connection, discussion, and learning at life sciences sessions and in the Life Sciences Innovation Hub. See you next year! #DF19 #LifeSciencesDF19  https://t.co/Cl7ljJp9Nq
1202	 . @AstraZeneca streamlines the workload of field reps with Veeva CRM for iPhone. Stop by the Life Sciences Innovation Hub (#1131) at #Dreamforce to learn more. #DF19 #LifeSciencesDF19  https://t.co/qb8sxuSmoW
1203	 Visit the #LifeSciences Innovation Hub (#1131) today at #Dreamforce to talk us about developing your intelligent engagement strategy with #CommercialCloud.  #DF19 #LifeSciencesDF19  https://t.co/TkUHGnqFDz
1204	 Does your organization outsource #clinicaltrials to CROs? Come learn key risk and performance indicators recommended for tracking proper oversight and CRO governance:  https://t.co/VzX5pGYoNd #veevasystems
1205	 Webinar: CROs Lotus Clinical Research, @ICONplc, @BioforumM will share insights on their adoption of an #AgileDesign methodology to speed EDC builds. Register here:  https://t.co/HrDsPdOQNM  https://t.co/AKrubmOOuB
1206	 Vertex shares how they were able to complete their UAT in only-two days at #VeevaSummit. Learn more:  https://t.co/yreaUfr0yr  https://t.co/FoYSindpis
1207	 Learn how Veeva #VaultPromoMats Standard Metrics can help companies improve their MLR processes #lifesciences  https://t.co/ruWPQf9zfl
1208	 Experts from @veevasystems are at the #LifeSciences Innovation Hub (#1131) @Dreamforce to discuss best practices, customer successes, and commercial strategy. Stop by this afternoon for a demo! #DF19 #LifeSciencesDF19  https://t.co/taiwsVE28U
1209	 Calling all #LifeSciencesDF19 innovators! Stop by the @MuleSoft Integration Theater (Moscone West) @Dreamforce NOW to learn how to make integration with 3rd-party solutions faster &amp; easier for #lifesciences.  #DF19 #Dreamforce
1210	 Join us at the @MuleSoft Integration Theater (Moscone West) today at 1:30 pm to learn how to make integration with 3rd-party solutions faster &amp; easier for #lifesciences.   https://t.co/mBYktoXHsM #DF19 #LifeSciencesDF19 #Dreamforce  https://t.co/xDFZbTRE14
1211	 . @tevapharmeurope is using multichannel Veeva CRM to improve business performance. Stop by the Life Sciences Innovation Hub (#1131) at #Dreamforce to learn more.   https://t.co/HWJV9ITZjX #DF19 #LifeSciencesDF19  https://t.co/FjK2CRRIff
1212	 Veeva #VaultPromoMats Auto Claims linking uses AI to link #promotionalclaims to the right reference material #lifesciences  https://t.co/OQ1WmdQHBu
1213	 Join @DaiichiSankyoUS and Veeva on December 5 as we discuss best practices for reducing the stress of a regulatory inspection. Register here:  https://t.co/Yy8DCuxxyl  https://t.co/yokecYe7bA
1214	 Do you know what are some key considerations for adopting a new data solution? Hear from industry leaders on their considerations:  https://t.co/4IJaFd6zAA  https://t.co/X3hPgFDHHf
1215	 @Karyopharm shares how emerging specialty pharma companies can efficiently commercialize their first products and simultaneously build a data foundation for the future.  https://t.co/mQddws6jWD
1216	 Good morning, #Dreamforce! Join us today at 9am &amp; be the first to preview new role-based Lightning apps coming to Veeva CRM.  https://t.co/XEAmha47Dd #DF19 #LifeSciencesDF19  https://t.co/kTpybwk8Jr
1217	 Our VP of clinical strategy, Jim Reilly, sat down with four life sciences industry experts to talk about opportunities in the industry to speed clinical trials. Via @ContractPharma:  https://t.co/4SIXE2LOKD
1218	 In just 30 minutes, learn how @BayerPharma is using Veeva #CommercialCloud with @marketingcloud. We'll see you at Marriott Marquis, Foothill G1-G2 at 4pm!  https://t.co/IqPxtakDrz #Dreamforce #DF19 #LifeSciencesDF19  https://t.co/pkgd37UyBc
1219	 . @BayerPharma is creating customer value through multichannel engagement with Veeva #CommercialCloud. Learn more at  Bayer's #Dreamforce session today at 4 pm:  https://t.co/rBNTmEqzwB #LifeSciencesDF19 #DF19
1220	 Start building your intelligent engagement strategy. Meet us in the Life Sciences Innovation Hub (#1131) this week at #Dreamforce. Its not too late to schedule a demo or meeting:  https://t.co/HWJV9ITZjX #DF19 #LifeSciencesDF19  https://t.co/bohPf8IdAJ
1221	 .@catalystcrnc went live in just 12 weeks with Veeva Vault Safety including UAT and training. Learn more here:  https://t.co/fTgQ4rCwgg  https://t.co/LM5HP1nWKV
1222	 Innovation is key for the #lifesciences industry. Find out how CROs are driving change in this @Clin_Trials article.
1223	 Today at #Dreamforce learn how @BayerPharma is using Veeva #CommercialCloud with @marketingcloud to manage customer journeys across all channels.  https://t.co/IqPxtakDrz #DF19 #LifeSciencesDF19  https://t.co/jykOM3oJ4a
1224	 Register now for the Veeva Align 19R3 release webinar to learn about user management enhancements and core product improvements.  https://t.co/tAUObD0JaR  https://t.co/4qYYndotZq
1225	 #clinicaloperations leaders say legacy #CTMS applications limit operational efficiency. But what does a legacy CTMS look like? Read here:  https://t.co/6F4JjMRmFS  https://t.co/82e4XTVq8f
1226	 Do you know how milestones and expected document lists improve TMF accuracy, timeliness, and completeness? Join @DaiichiSankyoUS and Veeva for a live webinar to learn more:  https://t.co/Yy8DCuxxyl  https://t.co/iVVxy2qLaf
1227	 Hear from a global #pharma company on how they saved half a million dollars a year with a modern #datastrategy.  https://t.co/eYFKVkaybl  https://t.co/s6BrGI20FD
1228	 Antares Pharma replaces their legacy #datawarehouse with Veeva Nitro to get data when and where reps need it the most. Hear more:  https://t.co/F1BetkLDZW
1229	 Experts from @Veevasystems  and @Crossix are at the Life Sciences Innovation Hub (#1131) to discuss best practices, customer successes, and commercial strategy. #DF19 #LifeSciencesDF19 #Dreamforce
1230	 Life sciences industry experts from across academia, sites, CROs, and sponsors discussed opportunities to improve #informationexchange in clinical trials, via @Clin_Trials:  https://t.co/IxqPUFq8Ou  https://t.co/9zUktwpUXi
1231	 Start building your intelligent engagement strategy. Meet us in the Life Sciences Innovation Hub (#1131) this week @Dreamforce. It's not too late to schedule a demo or meeting:  https://t.co/HWJV9ITZjX #DF19 #LifeSciencesDF19  https://t.co/oCZqYcl1Dj
1232	 Prepare for an upcoming inspection with the Regulatory Inspection Day Checklist:  https://t.co/Pzf19YxBin #clinicaltrials  https://t.co/CQqVatAZls
1233	 Join experts from @ICONplc, @BioforumM, Lotus Clinical Research, and Veeva on December 3 as they discuss how to improve study efficiency with a modern EDC:  https://t.co/HrDsPdOQNM  https://t.co/c5E9ZuK89X
1234	 Learn how to speed #clinicaltrial processes by modernizing #clinicaldata management like @VertexPharma, Lotus Clinical Research, and Cara Therapeutics did:  https://t.co/SAyd4MdD1r  https://t.co/Hx0hjx65uf
1235	 Head to the #LifeSciences Innovation Hub at @Dreamforce (#1131, Moscone South) to discuss commercial best practices and strategy with experts from @Veevasystems  and @Crossix.  #DF19 #LifeSciencesDF19  https://t.co/V2K6ds2eUI
1236	 .@MySCRS captures the Veeva team’s perspective on the state of #clinicaltrials and how #eRegulatory solutions improve the speed and efficiency of trials:  https://t.co/0mw8nouM0c  https://t.co/KwQArdseMk
1237	 Is artificial intelligence a business priority for you? @Karyopharm shares how going to market with a data foundation that is optimized for AI. Learn more:  https://t.co/mQddws6jWD
1238	 Learn how a global #pharma company made faster data-driven decisions, increased speed to market, and saved half a million dollars a year.  https://t.co/eYFKVkaybl  https://t.co/XSMbjr8OyQ
1239	 .@Allergan, @AstraZeneca, and @JNJCares reveal their top priorities in the pursuit of #clinicaltrial excellence. Read them here:  https://t.co/nSzOGOSoOo  https://t.co/zy5gL3G7is
1240	 The @veevasystems team is ready to go! We'll see you at #Dreamforce tomorrow. Find us at the #LifeSciences Innovation Hub (#1131).  #DF19 #LifeSciencesDF19
1241	 Heading to @Dreamforce? @Veevasystems and @Crossix will be at #DF19 in the Life Sciences Innovation Hub (1131). Schedule a demo or meeting:  https://t.co/HWJV9ITZjX  #LifeSciencesDF19  https://t.co/NMeTQwxNVB
1242	 Our VP of clinical strategy, Jim Reilly, sat down with four life sciences industry experts to talk about opportunities in the industry to speed clinical trials. Via @ContractPharma:  https://t.co/4SIXE2LOKD
1243	 The use of monitoring reviewer comments in Veeva Vault CTMS enables more efficient monitoring. Learn how:  https://t.co/SGoLZLSwrP  https://t.co/SRup0TkTfT
1244	 Last chance: Register today for a behind-the-scenes look at Veeva SiteVault Free, a 100% free eRegulatory solution for #clinicaltrial sites:  https://t.co/xlJup1GKGP  https://t.co/eVU24NlZB4
